car,Avg_price
Lexus,27743.190804597703
Suzuki,10855.063793103449
Infiniti,27741.494375000002
Lincoln,16500.0
Maserati,110000.0
MG,9149.5
Groz,4400.0
Rover,12512.5
Chrysler,9557.875
Samand,4749.5
GMC,17666.0
SMA,2900.0
Kia,12216.000693023254
Acura,18554.384615384617
Fisker,0.0
Barkas,5500.0
Peugeot,8704.923076923076
Huanghai,8500.0
ZAZ,3153.5678333333326
Chery,4404.671698113208
Toyota,21839.571541219964
TATA,12900.0
Tesla,99509.09090909091
Dacia,4891.791666666667
Volvo,18586.5625
Lancia,2166.6666666666665
Seat,8414.076923076924
VAZ,2830.7452965235175
Dadi,5550.0
Moskvich-AZLK,1629.1666666666667
Subaru,13873.631578947368
Samsung,6299.0
Hyundai,12457.30589918256
Alfa Romeo,9040.818181818182
Dodge,17768.75
Mercedes-Benz,28316.02280130293
ZX,7700.0
Audi,17882.75273522976
Volkswagen,12732.524855982907
Opel,6253.97
Daewoo,3757.6555319148933
Other-Retro,12700.0
Citroen,8215.226201388889
Renault,7812.404896695095
Buick,3500.0
Isuzu,9980.0
Mazda,10111.642171717172
Rolls-Royce,65000.0
BMW,22677.912463976947
Aro,3600.0
UAZ,4551.428571428572
JAC,8350.0
Honda,13523.89978276699
Chevrolet,10163.843125
Smart,6770.497234210527
Geely,6253.815089285715
Mitsubishi,11157.539143730886
Cadillac,70833.33333333333
Daihatsu,6600.0
Bentley,197504.625
Lifan,3800.0
Ferrari,167500.0
Hafei,6100.0
Hummer,28440.0
SsangYong,14252.015222222224
Saab,7000.0
Jeep,25647.52
Moskvich-Izh,1176.10259
Fiat,6473.388655462185
Great Wall,8555.555555555555
Skoda,10703.783621059783
BYD,8114.142857142857
Aston Martin,105000.0
Nissan,14109.54317527174
Lamborghini,130000.0
�UAZ,2257.7916666666665
MINI,17667.666666666668
Ford,10448.150968571428
Changan,6028.0
FAW,4900.0
Jaguar,24791.644736842107
Land Rover,50557.45033112583
Porsche,45606.782608695656
Bogdan,4950.0
Wartburg,1000.0
GAZ,3225.377941176471
Mercury,10000.0
